path,start,end,label,0,1,2
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.02.21.252,00.02.31.279,0,0.5801101326942444,0.1651180237531662,0.2547719180583954
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.02.38.109,00.02.39.417,0,0.561689555644989,0.14413033425807953,0.29418009519577026
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.02.48.327,00.02.49.235,0,0.6844975352287292,0.04954247921705246,0.2659599781036377
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.02.55.330,00.02.57.437,1,0.39904722571372986,0.5232077240943909,0.07774505019187927
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.03.04.003,00.03.09.017,0,0.631115734577179,0.16490571200847626,0.2039785236120224
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.03.09.435,00.03.11.542,0,0.5544756054878235,0.1310175061225891,0.3145069181919098
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.03.12.169,00.03.14.330,0,0.579677402973175,0.1742313951253891,0.24609118700027466
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.03.51.787,00.03.55.020,0,0.6701619625091553,0.07346554100513458,0.25637251138687134
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.14.10.490,00.14.11.798,0,0.5225979685783386,0.28587764501571655,0.19152435660362244
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.14.16.303,00.14.21.135,0,0.5992377400398254,0.11928151547908783,0.2814807593822479
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.17.02.968,00.17.04.348,0,0.6714079976081848,0.16563640534877777,0.16295559704303741
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.17.06.982,00.17.08.326,0,0.453829288482666,0.2794036567211151,0.26676705479621887
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.17.08.908,00.17.10.106,0,0.5163224339485168,0.051074303686618805,0.43260326981544495
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.17.21.768,00.17.24.602,0,0.6096892952919006,0.07043639570474625,0.31987428665161133
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.17.53.085,00.17.57.917,0,0.5982264876365662,0.11998512595891953,0.28178828954696655
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.17.57.917,00.18.01.804,0,0.6094253659248352,0.17912204563617706,0.21145260334014893
/project/graziul/data/Zone1/2018_08_12/201808120932-28710-27730.mp3,00.18.03.712,00.18.08.525,0,0.5504611730575562,0.21267998218536377,0.2368588000535965
/project/graziul/data/Zone1/2018_08_12/201808120304-366043-27730.mp3,00.00.32.882,00.00.34.011,0,0.5209718942642212,0.3430028557777405,0.13602527976036072
/project/graziul/data/Zone1/2018_08_12/201808120304-366043-27730.mp3,00.00.35.998,00.00.37.461,0,0.4370063543319702,0.30646005272865295,0.25653356313705444
/project/graziul/data/Zone1/2018_08_12/201808120304-366043-27730.mp3,00.00.37.846,00.00.41.092,0,0.4963861405849457,0.3266301155090332,0.1769838184118271
/project/graziul/data/Zone1/2018_08_12/201808120304-366043-27730.mp3,00.01.01.596,00.01.03.861,0,0.5378788113594055,0.2552051842212677,0.20691600441932678
/project/graziul/data/Zone1/2018_08_12/201808120304-366043-27730.mp3,00.01.05.537,00.01.06.584,0,0.5060872435569763,0.3431340157985687,0.15077875554561615
/project/graziul/data/Zone1/2018_08_12/201808120304-366043-27730.mp3,00.01.07.221,00.01.19.389,0,0.5949304699897766,0.13492152094841003,0.27014803886413574
